Hispanic,Black non-Hispanic,Other non-Hispanic,White non-Hispanic,Male,Female,18-44 years,45-64 years,Bachelor's degree or above,High school graduate or less,Some college,tract_x,tract_y,latitude,longitude,google_loc
0.231835829,0.742651137,0.009983361,0.015529673,0.505268996,0.494731004,0.387132557,0.200221852,0.199676201,0.800323799,0.199676201,230300,2303,29.8347332,-95.3127198,"29.8347332, -95.3127198 (2303)"
0.47647217,0.50255445,0.006453348,0.013982253,0.505781124,0.494218876,0.430760957,0.168862597,0.214529915,0.785470085,0.214529915,230400,2304,29.8305873,-95.325201,"29.8305873, -95.325201 (2304)"
0.793483469,0.162434116,0.006947772,0.03473886,0.517489219,0.482510781,0.448969813,0.13584092,0.217953595,0.782046405,0.217953595,230500,2305,29.8484539,-95.3283761,"29.8484539, -95.3283761 (2305)"
0.342534992,0.631415241,0.008942457,0.014385692,0.504276827,0.495723173,0.410186625,0.183514774,0.317739976,0.682260024,0.317739976,230600,2306,29.8448725,-95.3092658,"29.8448725, -95.3092658 (2306)"
0.237646171,0.739343644,0.010184836,0.012825349,0.448887212,0.551112788,0.40513014,0.150886458,0.387867647,0.612132353,0.387867647,230700,2307,29.8530072,-95.3099266,"29.8530072, -95.3099266 (2307)"
0.227094474,0.751515152,0.005347594,0.015686275,0.48627451,0.51372549,0.401069519,0.178253119,0.260641399,0.739358601,0.260641399,230800,2308,29.8398272,-95.2937237,"29.8398272, -95.2937237 (2308)"
0.180571969,0.792484046,0.009926731,0.017017254,0.467974474,0.532025526,0.398014654,0.173008745,0.288235294,0.711764706,0.288235294,230900,2309,29.818201,-95.282634,"29.818201, -95.282634 (2309)"
0.344698739,0.612097151,0.010976179,0.030359645,0.499766464,0.500233536,0.406819243,0.187762728,0.186314922,0.813685078,0.186314922,231000,2310,29.8401714,-95.2786836,"29.8401714, -95.2786836 (2310)"
0.583421442,0.345104673,0.007824064,0.062381053,0.506026644,0.493973356,0.444914358,0.157750053,0.132548424,0.867451576,0.132548424,231100,2311,29.8277499,-95.2500065,"29.8277499, -95.2500065 (2311)"
0.266945357,0.70349358,0.006569125,0.021797552,0.462824724,0.537175276,0.429531203,0.151239176,0.329483283,0.670516717,0.329483283,231200,2312,29.875083,-95.2473537,"29.875083, -95.2473537 (2312)"
0.196755994,0.771509168,0.008697696,0.022802069,0.466619652,0.533380348,0.410437236,0.200987306,0.425696594,0.574303406,0.425696594,231300,2313,29.8582183,-95.2726329,"29.8582183, -95.2726329 (2313)"
0.045397226,0.937788987,0.008406894,0.007566204,0.458175704,0.541824296,0.36443884,0.178226145,0.408123791,0.591876209,0.408123791,231400,2314,29.8637479,-95.2870796,"29.8637479, -95.2870796 (2314)"
0.074648928,0.911308204,0.005173688,0.007390983,0.457871397,0.542128603,0.368810052,0.187361419,0.382495948,0.617504052,0.382495948,231500,2315,29.859841,-95.2965469,"29.859841, -95.2965469 (2315)"
0.167257264,0.806520198,0.009922041,0.01523742,0.491141035,0.508858965,0.369241673,0.188518781,0.364353312,0.635646688,0.364353312,231600,2316,29.8617444,-95.3074845,"29.8617444, -95.3074845 (2316)"
0.876907163,0.034134988,0.004396173,0.082492889,0.525471942,0.474528058,0.449185415,0.122317042,0.220530175,0.779469825,0.220530175,231700,2317,29.8761202,-95.3198604,"29.8761202, -95.3198604 (2317)"
0.570911722,0.386758321,0.005065123,0.035094067,0.497467438,0.502532562,0.410998553,0.188856729,0.267303103,0.732696897,0.267303103,231800,2318,29.8763695,-95.3077825,"29.8763695, -95.3077825 (2318)"
0.270979021,0.677844882,0.008900191,0.038938334,0.48394787,0.51605213,0.407660521,0.197870312,0.310436517,0.689563483,0.310436517,231900,2319,29.8790857,-95.2745722,"29.8790857, -95.2745722 (2319)"
0.545925926,0.400740741,0.004691358,0.044691358,0.496049383,0.503950617,0.430864198,0.155308642,0.28501827,0.71498173,0.28501827,232000,2320,29.9035599,-95.2713048,"29.9035599, -95.2713048 (2320)"
0.593238062,0.305332869,0.009759498,0.089926804,0.51341931,0.48658069,0.469850122,0.154060648,0.25346901,0.74653099,0.25346901,232100,2321,29.9054154,-95.3072963,"29.9054154, -95.3072963 (2321)"
0.402140511,0.152272968,0.018649995,0.38338455,0.495920314,0.504079686,0.524531101,0.127370987,0.534856923,0.465143077,0.534856923,232200,2322,29.9249436,-95.2608743,"29.9249436, -95.2608743 (2322)"
0.605295636,0.240996298,0.009648828,0.140468978,0.484797487,0.515202513,0.460338831,0.108605408,0.291399817,0.708600183,0.291399817,232301,2323.01,29.8726614,-95.2166374,"29.8726614, -95.2166374 (2323.01)"
0.503769401,0.394013304,0.008093126,0.085698448,0.483370288,0.516629712,0.480709534,0.122062084,0.399023524,0.600976476,0.399023524,232302,2323.02,29.8596077,-95.2048279,"29.8596077, -95.2048279 (2323.02)"
0.533648011,0.221173297,0.012407283,0.183816588,0.493728928,0.506271072,0.446122724,0.165475388,0.384301733,0.615698267,0.384301733,232401,2324.01,29.8210792,-95.1921157,"29.8210792, -95.1921157 (2324.01)"
0.498384491,0.393376414,0.014270328,0.070543888,0.475228864,0.524771136,0.449919225,0.185245019,0.500677201,0.499322799,0.500677201,232402,2324.02,29.8118412,-95.1879797,"29.8118412, -95.1879797 (2324.02)"
